no,image,name,place,date,material,size,acquired
1,assets/img1.jpg,Leather Yurts,"Inner Mongolia, China",Summer 2014,Leather,Oreo,Bought
2,assets/img2.jpg,Buckingham Palace Crown,"London, UK",August 2015,Metal,Ferrero Rocher,Bought
3,assets/img3.jpg,London Landmarks,"London, UK",August 2015,Metal,Animal Crackers,Bought
4,assets/img4.jpg,Vatican City Coat of Arms,Vatican City,August 2015,Metal and Enamel,Cheez-it,Bought
5,assets/img5.jpg,Mini Purse,China,Unknown,Leather,Mochi Ice Cream,Bought
6,assets/img6.jpg,Hershey Kiss,"Hershey, PA",October 2016,Metal,Hershey Kiss,Bought
7,assets/img7.jpg,Yale University,"New Haven, CT",May 2017,Metal,Apricot,Bought
8,assets/img8.jpg,M&M Ms. Brown,"New York City, NY",March 2017,Plastic and Metal,Peach Ring,Bought
9,assets/img9.jpg,Tiki God of Happiness,"Hilo, HI",June 2017,Wood,Milano Cookie,Bought
10,assets/img10.jpg,Hulu with Ox Character,"Yunnan, China",August 2017,Plastic,A Couple Blueberries,Bought
11,assets/img11.jpg,Hamilton Star,"New York City, NY",March 2017,Metal,Chips Ahoy Cookie,Gift from Hamilton Performance
12,assets/img12.jpg,Netherlands Clogs,Netherlands,2016 (?),Porcelain,Raspberry,Gift from Dad
13,assets/img13.jpg,Small Drum,"New Haven, CT",Found Fall 2017,"Leather, String, and Wood",Blackberry,Found in Yale Dorm
14,assets/img14.jpg,Obama Portrait,"State College, PA",Unknown,Metal and Resin,Chocolate Melt,Gift from Grandpa
15,assets/img15.jpg,Ecuador Dolphin,Ecuador,Spring 2004,Tagua Nut and Clay,Tagua Nut,Gift from Teacher
16,assets/img16.jpg,Gumball Machine,"State College, PA",Unknown,Plastic and Candy,Tangerine,Party Gift
17,assets/img17.jpg,Steam,"New Haven, CT",Spring 2015,Laser-cut Acrylic,Onion Ring,Free Handout
18,assets/img18.jpg,St. Louis T-Shirt,St. Louis,Unknown,Plastic,Yale Dining Cheesecake Bar,Gift from Mom (I think)
19,assets/img19.jpg,Hershey Kiss,"Hershey, PA",October 2016,Metal and Enamel,Mini Hershey Bar,Bought
20,assets/img20.jpg,Time Turner,"London, UK",August 2015,Plastic That Looks Like Metal and Sand,Keebler Fudge Stripes Cookies,Bought
21,assets/img21.jpg,Hogwarts Shield,"London, UK",August 2015,Metal and Enamel,Keebler Fudge Stripes Cookies,Bought
22,assets/img22.jpg,Maid of the Mist Key,Niagara Falls,2014 (?),Metal and Resin,The Other KitKat,Bought
23,assets/img23.jpg,Fairy Maiden,China,Unknown,Plastic,Mandarin Orange Slice,Inherited from Mom
24,assets/img24.jpg,Sunny Daisy,"State College, PA",Unknown,Plastic,Gumball,"Came with a Diary, Gift"
25,assets/img25.jpg,Foster the People Diamond,"State College, PA",Fall 2014,Flexible Plastic,Girl Scout Thin Mint,"Bought, from a FtP Concert"
26,assets/img26.jpg,Crayola Stamp,"State College, PA",Unknown,Metal,Stacy's Pita Chip,Gift
27,assets/img27.jpg,Edinburgh Castle,"Edinburgh, Scotland, UK",May 2016,Metal and Enamel,Girl Scout Samoa,Bought
28,assets/img28.jpg,National Air and Space Museum,"Washington, DC",Unknown,Metal,Jaw Breaker,Bought
29,assets/img29.jpg,Boston Landmarks,"Boston, MA",Fall 2015,Metal,Gumball,Bought
30,assets/img30.jpg,Venzia Canals,"Venice, Italy",August 2015,Metal,Terra Blues Chip,Bought
31,assets/img31.jpg,Hexiehao Train Flashlight,"Beijing, China",2013,Plastic,One KitKat,Gift from Mom
32,assets/img32.jpg,Whistle,"State College, PA",Unknown,Metal,Stick Pretzel,Gift
33,assets/img33.jpg,Canada Bear,Canada,Unknown,Metal and Enamel,Famous Amos Cookie,Unknown
34,assets/img34.jpg,Death Valley National Park,Death Valley,Unknown,Plastic,Ghirardelli Square,Gift from Dad
35,assets/img35.jpg,National Gallery of Art,"Washington, DC",Unknown,Metal and Resin,Famous Amos Cookie,Bought
36,assets/img36.jpg,Los Angeles Rose,"Los Angeles, CA",2016 (?),Metal and Enamel,Dorito Chip,Gift from Dad
37,assets/img37.jpg,Seattle Crab,"Seattle, WA",August 2016,Metal,Mini Snickers,Bought
38,assets/img38.jpg,Jason’s Portrait,"State College, PA",Unknown,Metal,Grape,Inherited from Mom
39,assets/img39.jpg,Leaning Tower of Pisa,"Pisa, Italy",August 2015,Metal,Cheez-it,Bought
40,assets/img40.jpg,Big Ben,"London, UK",August 2015,Metal,Girl Scout Do-si-do,Bought
41,assets/img41.jpg,DC Panda,"Washington, DC",Unknown,Resin,Small Apricot,Unknown
